Script_DoEmote 0xD1FB80
Script_CancelEmote 0xD1FE90
Script_LoggingChat 0xD1FEB0
Script_LoggingCombat 0xD1FEC0
Script_JoinChannelByName 0xD19AD0
Script_JoinPermanentChannel 0xD19AE0
Script_DeclineChannelInvite 0xD19AF0
Script_LeaveChannelByName 0xD19C00
Script_LeaveChannelByLocalID 0xD19B80
Script_ListChannelByName 0xD19C50
Script_ListChannels 0xD19CE0
Script_GetChannelList 0xD19E30
Script_SetChannelPassword 0xD19F70
Script_SetChannelOwner 0xD1A020
Script_DisplayChannelOwner 0xD1A140
Script_GetChannelName 0xD1A1D0
Script_ChannelModerator 0xD1A570
Script_ChannelUnmoderator 0xD1A690
Script_ChannelInvite 0xD1A7B0
Script_ChannelKick 0xD1A8D0
Script_ChannelBan 0xD1A9F0
Script_ChannelUnban 0xD1AB10
Script_ChannelToggleAnnouncements 0xD1AC30
Script_ChannelSetPartyMemberSilent 0xD1ACC0
Script_ChannelSetAllSilent 0xD1ADF0
Script_ChangeChatColor 0xD1AEE0
Script_ResetChatColors 0xD1B100
Script_GetChatTypeIndex 0xD1B7C0
Script_GetChatWindowInfo 0xD1B8D0
Script_GetChatWindowSavedPosition 0xD1BA40
Script_GetChatWindowSavedDimensions 0xD1BB10
Script_GetChatWindowMessages 0xD1BBB0
Script_GetChatWindowChannels 0xD1BC80
Script_AddChatWindowMessages 0xD1BD80
Script_RemoveChatWindowMessages 0xD1BF30
Script_AddChatWindowChannel 0xD1C0E0
Script_RemoveChatWindowChannel 0xD1C340
Script_SetChatWindowName 0xD1C570
Script_SetChatWindowSize 0xD1C640
Script_SetChatWindowColor 0xD1C6E0
Script_SetChatWindowAlpha 0xD1C800
Script_SetChatWindowLocked 0xD1C8A0
Script_SetChatWindowDocked 0xD1C9A0
Script_SetChatWindowUninteractable 0xD1C920
Script_SetChatWindowShown 0xD1CA40
Script_SetChatWindowSavedPosition 0xD1CAC0
Script_SetChatWindowSavedDimensions 0xD1CC10
Script_EnumerateServerChannels 0xD1CD00
Script_ResetChatWindows 0xD1D150
Script_RedockChatWindows 0xD1DE10
Script_SetPendingReportTarget 0xD1DF60
Script_SetPendingReportPetTarget 0xD1E090
Script_GetNumDisplayChannels 0xD1E1A0
Script_GetNumGroupChannels 0xD1E1D0
Script_GetChannelDisplayInfo 0xD1E200
Script_GetSelectedDisplayChannel 0xD1E510
Script_SetSelectedDisplayChannel 0xD1E560
Script_GetNumChannelMembers 0xD1E660
Script_IsDisplayChannelOwner 0xD1E7A0
Script_IsDisplayChannelModerator 0xD1E810
Script_SetChatColorNameByClass 0xD1B4B0
Script_IsChatChannelRaid 0xD1B5E0
Script_SwapChatChannelByLocalID 0xD1B670
Script_嶟 0x4000
Script_MZ 0x0
Script_ 0x600
Script_MZ 0x0
Script_MZ 0x0
Script_H 0x0
Script_MZ 0x0
Script_MZ 0x0
Script_MZ 0x0
Script_CanBeRaidTarget 0xD8B970
Script_SetRaidTarget 0xD8BA00
Script_SetRaidTargetProtected 0xD8BAA0
Script_GetRaidTargetIndex 0xD8BB40
Script_CanResetTutorials 0xD92160
Script_FlagTutorial 0xD921D0
Script_IsTutorialFlagged 0xD92270
Script_TriggerTutorial 0xD92220
Script_ClearTutorials 0xD92310
Script_ResetTutorials 0xD92320
Script_GetNextCompleatedTutorial 0xD92440
Script_GetPrevCompleatedTutorial 0xD924F0
Script_GetTutorialsEnabled 0xD925A0
Script_DoesSpellExist 0xDADBA0
Script_GetNumSpellTabs 0xDADC00
Script_GetSpellTabInfo 0xDADC70
Script_GetSpellBookItemName 0xDADFC0
Script_GetSpellBookItemInfo 0xDAE250
Script_GetSpellLink 0xDAE370
Script_GetSpellInfo 0xDAE590
Script_GetSpellSubtext 0xDAE870
Script_GetSpellRank 0xDAE940
Script_GetSpellPowerCost 0xDAF110
Script_GetSpellCharges 0xDAE420
Script_GetSpellDescription 0xDAEFE0
Script_GetSpellBookItemTexture 0xDAF800
Script_GetSpellTexture 0xDAF920
Script_GetSpellCount 0xDAF990
Script_GetSpellCooldown 0xDAF9F0
Script_GetSpellAutocast 0xDAFCB0
Script_ToggleSpellAutocast 0xDAFDC0
Script_EnableSpellAutocast 0xDAFE80
Script_DisableSpellAutocast 0xDAFF40
Script_SetSpellbookPetAction 0xDB0000
Script_PickupSpellBookItem 0xDB0140
Script_PickupSpell 0xDB0290
Script_CastSpell 0xDB0430
Script_IsSelectedSpellBookItem 0xDB0540
Script_IsPassiveSpell 0xDB05B0
Script_IsAttackSpell 0xDB0610
Script_IsCurrentSpell 0xDB06F0
Script_IsAutoRepeatSpell 0xDB0750
Script_IsUsableSpell 0xDB0840
Script_IsHelpfulSpell 0xDB0A00
Script_IsHarmfulSpell 0xDB0AE0
Script_IsConsumableSpell 0xDB0BC0
Script_SpellHasRange 0xDB0DB0
Script_IsSpellInRange 0xDB0F20
Script_HasPetSpells 0xDB10C0
Script_GetNumShapeshiftForms 0xDB1190
Script_GetShapeshiftForm 0xDB11C0
Script_GetShapeshiftFormID 0xDB1300
Script_CancelShapeshiftForm 0xDB1350
Script_GetShapeshiftFormInfo 0xDB1370
Script_CastShapeshiftForm 0xDB1550
Script_GetShapeshiftFormCooldown 0xDB1670
Script_CastSpellByName 0xDB17D0
Script_CastSpellByID 0xDB1BB0
Script_IsSpellKnown 0xDB1F90
Script_IsSpellKnownOrOverridesKnown 0xDB2010
